stars,comment
4.0 out of 5 stars,"Okay. So you have been seeing people display their Macbooks and you have always fancied owning one of those premium devices. Now, as Amazon offers this Macbook Air at a reduced price, you are getting tempted to buy this. STOP and consider what you get for the money you spend. Do not buy this if you think this adds some premiumness to your profile. It will not - because this device is next in line where support will be withdrawn by Apple. Resist temptation - because THAT is what Apple sells. The last reason to buy should be your feeling that it improves your profile. Apple users will smirk when they see you with an obsolete 'dinosaur' device as they display their latest toys.If you are a windows user - better go to some friend's Macbook and try some activities. MAC OS is great till you try to change something as puny as your mouse cursor!! You realise that you are stuck in the little cozy jail of Apple once you try anything non-standard. Try transferring data by a USB stick from your other laptop to this one .... you will need training. USB partitioning has to be only ExFAT - and evn if you do this partitioning on a MAC, chances are that Windows will not recognise the USB stick. If you are not a power user - this can be a real pain. Of course, you can pretend (like so many thousands of Apple users) that these do not matter. But hey - they do. A premium DELL or HP may be the best option for you. (Yes, I will first discourage you from buying this and then explain why I purchased this for myself)Know that you are giving up the option of buying RAM or SSD from the neighbouring shop to extend the device life. You wil depend on Apple and on Apple alone. Of course there are generic spares - but these too are more expensive than the DELL or HP spares. Once Apple pulls the plug of support, these spares may get even more expensive. In fact, hardware upgrade beyond increasing the SSD is very much a rare luxury. Thankfully, I have kept myself out of this snob-race that Apple peddles.If you are still reading - here are the good sides (why I purchased this in spite of what I wrote above)A Mac is a Mac is a Mac. So is this one. The hardware are perfectly matched and performance is always optimal. This laptop is for carrying along as a second laptop, alongside my official one, a DELL workhorse. MAcbook Air is lightweight and can run other operating systems. I use this to run Windows and Linux.The MAC OS is a very stable Operating system. Chances are that you will never face a single crash in your lifetime of using this Macbook Air. Windows is fragile (too many bugs and updates) and Linux is difficult (you need a little training). That's where the Macbook Air comes in Handy. With Parallels desktop, you can load Linux and Windows on Virtual Machines on the Mac. You can seamlessly go from one OS to another without rebooting. However, note that with 'parallels desktop' you are operating Windows and Linux from your little cell in the Apple jail. And be prepared to shell out a good amount to ""buy"" this software. It is possible to load linux differently so that it works outside the Apple shell. Quite a saving grace. Using BootCamp (through a dual bootng feature), you can take advantage of the multi-tasking power of Windows without the risk of getting blue screens or hanged functions. So overall that looks great.Now coming back to my rating... I run mostly Windows and Linux on this MAC. Happy with it because the hardware is great. I consider myself a power user - so I know that I can find alternatives for this if and when Apple pulls the plug of support (should be available for at least another year, and a certain period after that as Apple's support to ""obsolete"" devices). Hence a durability rating of 3 stars only !!That (above) is the truth laid bare. Please decide and buy at your own risk.~~ Buy this if you like the hardware (but know that DELL or HP would give a much better hardware at this price, and those will be upgradable and last much longer than this)~~ Buy this because you understand that this hardware is very stable and Mac OS can protect your windows as it works in the MAC Shell. Buy this because you can run Linux once Mac makes this obsolete.~~ Do not buy this if you feel it adds to your premium value. It will be a dinosaur soon and you will be left stranded. Think of the plight of iPhone 5, which was premium 24 months ago. People rushed and purchased their ""cheap iPhone"" around a year back. Today, they have no pride in showing off a device that is obsolete. Tomorrow, Apple will make it sluggish and they will be forced to upgrade.EDIT/ADD [02/12/2019]: If you plan to upgrade your SSD to 500GB, please look at SSD (ASIN:B07J2WBKXF) with adapter (ASIN: B07D7VM8GM). I have been able to successfully upgrade myself. Review is on the SSD page.
            "
5.0 out of 5 stars,"It's amazing..... battery last around 10 -12 hrs.....best laptop for students and coders
            "
5.0 out of 5 stars,"Finally a MacBook possession. Got it in 50k in Diwali sale. Technically good laptop.Good News.luxury product, niche technology, good battery life, reliable machine (other laptops crash and become defunct in 6-10 years), no anti-virus required, security of data and transactions much better. Terrific sense of possession & pride.Bad News. Problems will be there if you are switching from windows based system - very less space in hard disk, no CD drive, inability to transfer data from Mac to your existing external hard disc unless you format it, apps are mostly paid and re unreasonably expensive (no free apps which are available otherwise on google play store, even the angry bird costs Rs 400 !!), all printers are not compatible (e.g. the most economical MFD laser printer RICOH SP 111 can't be used), huge compatibility issues with Pages (MS Word) and Keynote (powerpoint) unless you master it by working on these (still mostly the document and slides either do not open in windows environment or have distortion issues). you need to spend extra for an external CD writer and tp buy a carry bag. Mac con not be connected to most of the projectors unless you buy some connectors, which are expensive and theres no clarity which one to buy and from where. you can't connect it to your TV, the ports are different and again theres no clarity - customer support, manuals or help section are silent ! Marketing strategy for Indian market, if at all has been planned, has been very bad. If these critical issues (and a few more not mentioned here) are handled properly, the Mac can sweep away other laptops in India. Presently, it doesn't seem to be happening.Overall Verdict.If compatibility issues mentioned above do not bother you, go for it. Else, think hard.  If its an emotional issue to own a long cherished Mac, then its a different thing. Go ahead and gradually you would figure out most (but not all) of the above problems, like I did.
            "
5.0 out of 5 stars,"Best Laptop under 60k. If you don't want any accounting softwares like tally or busy then go for it, better than windows in every term. I just love it's battery life with sleek look 😍Now talking about MS officeIt's available on app store, free for 1 monthAfter that you will have to pay.You cannot install pirated version but if you install Windows 7 or any other version then u can use Ms office for freeBut in MacBook there are other apps which are good substitute for Ms office appsNumbers for ExcelPages for wordKeynote for PowerPointAnd you can convert your numbers file to Excel file or csv fileSame for the pages & keynoteSo no need of Ms office for me.Cons1. U cannot play games, your laptop will just heat up, battery will drain* U cannot play pubg mobile on emulator if you are pubg lover😁2. Storage 128gb, it will work fine but if you want to store movies or TV shows u can't, u have to buy external hard disk
            "
5.0 out of 5 stars,"Pros:1. Light weight and super fast response time2. Highly optimize which avoids any kind of process lag.3. Beautiful looks and feels like a prime product.4. Long battery life and awesome sound clarity5. Purchased during Amazon sale cost around 52k.Cons:1. Not enough memory2. Limited softwares available3. Operating system is not that user-friendlyProbably one of the best option for 50k+ laptops
            "
4.0 out of 5 stars,"I have been a Macbook pro user for last 2 years. I came across the new Macbook air and got a chance to put hands on it. So here is a brief review on my first impressions. Basically i will be comparing this with a regular laptop of similar price range and Macbook PROAir benefits compared to Non Apple laptop:# Slim and light weight for daily travel# 10-11 hours battery backup on normal usage# Apple touch pads are awesome, smooth and responsive compared to any premium laptop# Audio quality on speakers is good, but not as loud as my Macbook Pro 13# Apple front camera works the best in low light, best for low light skype calls# SSD - Apps launch very fast despite the low power processor# Metal body construction# Mag safe charger- If you are really careless this helps very much.# Ambient light sensor that adjusts brightness automatically ( Many people are not aware of this feature)# Keep your Air closed or leave somewhere idle and check back after 2 or 3 days, you will see battery has dropped less than 3 or 4 %# The best part - Mac OS, contains all that you need, a neat calendar, Todos app, notes, Quicktime, Mail app etc. Hassle free OSAir demerits compared to Non Apple laptop:# Performance is on lower side# Good for basic usage only, internet, movies, video calls, spreadsheets, mail# You will get better display(Full HD) if you buy a 999$ Ultrabook from US (In India they come at premium)Should you consider Macbook PRO? - PRO advantagesI know a lot of people might be confused whether to go with PRO for some additional bucks. So listing benefits of pro from my experience# Force touch - More comfortable touch pad, less finger pain compared to buttons on Air, Adjustable pressure# Retina display - More pixels, Better viewing angle. Air is 1440x900 while PRO is 2560x1600 pixels# Better performance - Pro CPU is actually about 50% faster than AIR, but in real world tests, apps launch at similar speed in both PRO and Air. The difference is notable only when you run CPU intensive tasks like Programming, Video encoding, Photo editing, Raw conversion etc. Those who are not into this can go with Air and save some money.# Newer CPU - Macbook air has not evolved much compared to PRO. The 2017 Air uses the same fifth generation CPU as the previous version (2015). But with a little upgrade in CPU speed. ie 1.6 GHz to 1.8 GHz. The newer PROs come with 7th generation Intel processors. The difference is mainly with the energy consumption.# HDMI port - You don't need display port adaptor# New keyboard - The 2016 PRO has the same keyboard as the ""Macbook"". Keys are less deeper and more wider. This makes it little more comfortable to type. Air comes with the same old keyboard as 2015 PRO# Wider touch pad - Not a big deal. But if someone loves that, its a bonus# Color options - Yes, Air is only available in Silver, PRO comes in 3 color optionsIf you think, all the above justifies the price difference between the PRO and Air, go for the PRO. The only benefit that Air offers is battery life. PRO offers 8-9 hours only, while Air offers, 11-12 hours battery.Whom Air is for?Macbook air is not a gaming machine or for hard core users. Its for people who love to watch lot of movies, work on documents, browse and some basic programming. When i say programming, Xcode works fine on Macbook air. But Software like Android studio, Photoshop seems to struggle a little on Air. But if you are once in a while user of intensive apps, you can ignore this.I will update my review with more details after a few weeks of hands on testing and usage. If you have any queries leave a comment below. I will try to answer in a day or two.Thanks for reading! Hope this helps.Also, Get 10% Cashback by Ordering through vqr .in/24
            "
1.0 out of 5 stars,"I am very upset about the product as I checked my MacBook 15 days back in December, it didn’t start. It was luckily in warranty . I took it to the service centre and they informed me the mother board and battery collapsed. If it was not in warranty I had to pay 47000/. I asked for replacement of the product and I was refused. They got it fixed for me. I don’t know why should I pay 57000/ for Mac quality. If this is the quality and the service, then I have to go to other product. In January my product expiry was due. They have give an extension of 3 months warranty when I had asked for 1 year. Very disappointed.
            "
1.0 out of 5 stars,"Reason for 1 star is I ot an defective piece. The sound quality was not good . My laptop started giving issues with power button from  4 months. The screen would flicker and it would shutdown automatically after sometime. Took the mac to service centre. They replaced the motherboard free of cost as it was in warranty. Now my mac is perfectly fine :
            "
1.0 out of 5 stars,"Bought this product recently on 5 April, was working perfectly fine for few days and on 16 April the Mac working charge or turn on. Apple service centre says they can’t fix the product under warranty and amazon in try to come up with a solution ever since , no solid answer . I m stuck with a dead mac after using it for 10days. Request seller , Amazon or apple to take full responsibility.
            "
4.0 out of 5 stars,"Got the Apple Macbook air on amazon discount sale.1) The OS is smooth and is a breeze to work with. Ships with macOS sierra but update is available to macOS mojave2) The design and build quality, as you can expect from an apple product is top notch.3) Excellen sound quality, keyboard.Cons:1) 128GB may be low incase you want to have movies and media in your laptop.You need to carry around a hard disk that kind of nullifies the advantage of having a light weight laptop.2) Display resolution is not exactly upto the mark
            "
